word,score,wordCount,SVM_Rank
12-oz,16.22653717177592,2,756
salisbury,16.221447316482383,1,757
muchly,16.217178982343736,1,758
thank,16.212784038096547,171,759
hectic,16.195453868931523,1,760
redfish,16.1927244707197,5,761
clever,16.17159485202591,3,762
superfood,16.167168718496605,1,763
reagents,16.16293469575767,1,764
ahhhh,16.15603298324254,1,765
spreadable,16.15266208802548,1,766
seafood,16.14880589183378,22,767
conveniance,16.08199334320972,1,768
dedication,16.072737539920265,2,769
usefulness,16.055298716863227,8,770
convenient,16.0271282080884,123,771
gift-,16.025033572380796,2,772
gravies,16.01375328427319,2,773
smart,16.006935962429186,24,774
1.5c,15.992049510197722,1,775
kebabs,15.96771646970958,1,776
afternoons,15.96752505931438,3,777
nana,15.962309785595256,41,778
diagonal,15.961844010561837,2,779
unfurl,15.957348250063749,3,780
budda,15.956963428895111,1,781
darned,15.9525655987991,5,782
defragging,15.94559676363628,1,783
cubed,15.944526845789191,5,784
terroirs,15.925488402462731,3,785
15lbs,15.914432061614288,2,786
loves,15.909373014363442,506,787
maximizing,15.899560875336032,1,788
visualize,15.891855168698736,1,789
lowfat,15.874411668944052,2,790
gastro,15.865212864302585,2,791
basting,15.855589357943392,1,792
triathlete,15.8543804684506,2,793
always,15.849504937276993,660,794
weekly,15.838869294233167,9,795
hypertension,15.836065210185053,13,796
goodly,15.828283206754296,9,797
parchment,15.818923183398486,1,798
weatherly,15.818794054070825,1,799
destroyers,15.807397574888103,1,800
also.i,15.802502568648805,1,801
bracing,15.802067655222466,1,802
gyro,15.789897163914308,21,803
glad,15.789795309735334,228,804
rolland,15.78978502097079,1,805
safest,15.786958553634665,1,806
professional,15.783460686350711,26,807
easier,15.779906698354807,109,808
unexcelled,15.77213241912467,1,809
unsweetened,15.76932325115131,20,810
recloseable,15.76415655171912,1,811
gochujang,15.762172765390478,1,812
fav,15.756518859751061,6,813
masaman,15.752554330917182,1,814
challenging,15.743771181649159,5,815
munchie,15.74305667440857,1,816
fishing,15.740848150980678,2,817
butternut,15.738590082806581,6,818
dollop,15.73654558759199,1,819
silken,15.73512122271586,15,820
hiker,15.733448033265269,1,821
wonders,15.731434638731631,18,822
standalone,15.727787046831232,1,823
trucks,15.71198500059598,1,824
rerunning,15.70461376513099,1,825
queing,15.689979831664102,1,826
traditional,15.682788524809567,92,827
savor,15.674148931547666,22,828
antioxidents,15.672001720994468,1,829
seltzers,15.665862496551338,4,830
pleased,15.651177290877156,149,831
kraft,15.643262287948952,9,832
pleasnt,15.637819041930623,2,833
tremendously,15.628676255389857,3,834
celtic,15.623277855501687,1,835
ryvita,15.621038416751762,1,836
fave,15.613444094789832,7,837
loving,15.60838562821709,44,838
confidently,15.600625877726298,1,839
pleasurable,15.599623364810343,1,840
probiotic,15.587796395664277,1,841
proficiency,15.579902006081937,1,842
worthwhile,15.578139297199161,2,843
sunny,15.562527028007267,8,844
homework,15.557834618356802,2,845
plusses,15.556745417820494,1,846
deli,15.554381309512019,8,847
nativa,15.545989683675387,3,848
commuting,15.537382774080653,1,849
newtons,15.522121734107868,2,850
hooray,15.501898844368357,3,851
conveniet,15.501553825426171,1,852
