,Word,Bert,Distilbert
1833,ar,-2.09E-05,-1.60E-06
1834,however,-2.09E-05,-1.11E-05
1835,rex,-2.08E-05,-5.46E-06
1836,lu,-2.07E-05,1.15E-05
1837,wrapped,-2.06E-05,7.81E-06
1838,loudly,-2.06E-05,-2.16E-05
1839,ways,-2.06E-05,-5.53E-06
1840,light,-2.05E-05,-1.65E-05
1841,poetry,-2.05E-05,2.36E-06
1842,grandfather,-2.02E-05,-7.19E-06
1843,necklace,-2.01E-05,-1.25E-05
1844,jam,-2.00E-05,-1.57E-06
1845,figure,-2.00E-05,4.14E-06
1846,master,-2.00E-05,-5.92E-06
1847,matt,-1.99E-05,-1.73E-05
1848,homemade,-1.99E-05,-1.83E-05
1849,red,-1.99E-05,-1.01E-06
1850,football,-1.99E-05,-1.01E-05
1851,sam,-1.99E-05,2.67E-06
1852,anderson,-1.98E-05,-2.40E-05
1853,topped,-1.97E-05,1.28E-05
1854,chef,-1.97E-05,9.82E-06
1855,college,-1.97E-05,2.94E-06
1856,tech,-1.97E-05,2.85E-07
1857,jet,-1.97E-05,-1.82E-05
1858,mill,-1.96E-05,-1.84E-05
1859,john,-1.95E-05,-1.55E-06
1860,pancakes,-1.94E-05,5.58E-07
1861,tiny,-1.94E-05,-1.70E-05
1862,cup,-1.94E-05,-1.84E-05
1863,primary,-1.94E-05,-1.22E-05
1864,tits,-1.93E-05,-1.15E-05
1865,crush,-1.93E-05,-1.37E-05
